the_geom,OBJECTID,CAM_NUM,NOTES,LOCATION,PROJ,XCOORD,YCOORD
"{type=Point, coordinates=List(-76.58955399997538, 39.296517999609016)}",650,163,,163,Hopkins Fixed Cameras,-76.58955399,39.29651799
"{type=Point, coordinates=List(-76.58956699957305, 39.2966990003664)}",651,158,,158,Hopkins Fixed Cameras,-76.58956699,39.296699
"{type=Point, coordinates=List(-76.58957499980227, 39.2969329996352)}",652,156,,156,Hopkins Fixed Cameras,-76.58957499,39.29693299
"{type=Point, coordinates=List(-76.58958799981116, 39.29714099972469)}",653,154,,154,Hopkins Fixed Cameras,-76.58958799,39.29714099
"{type=Point, coordinates=List(-76.58962100003012, 39.29735699994373)}",654,152,,152,Hopkins Fixed Cameras,-76.589621,39.29735699
"{type=Point, coordinates=List(-76.58961800043132, 39.2975249999551)}",655,123,,123,Hopkins Fixed Cameras,-76.589618,39.29752499
"{type=Point, coordinates=List(-76.58945400046842, 39.297845999779234)}",656,102,,102,Hopkins Fixed Cameras,-76.589454,39.29784599
"{type=Point, coordinates=List(-76.58970399974959, 39.29846300028964)}",657,119,,119,Hopkins Fixed Cameras,-76.58970399,39.298463
"{type=Point, coordinates=List(-76.58979799976879, 39.29950799960488)}",658,24,,24,Hopkins Fixed Cameras,-76.58979799,39.29950799
"{type=Point, coordinates=List(-76.58946999998695, 39.29866000033492)}",659,13,,13,Hopkins Fixed Cameras,-76.58946999,39.29866
"{type=Point, coordinates=List(-76.58860699975, 39.2981419998474)}",660,98,,98,Hopkins Fixed Cameras,-76.58860699,39.29814199
"{type=Point, coordinates=List(-76.58862899983887, 39.298494999624474)}",661,94,,94,Hopkins Fixed Cameras,-76.58862899,39.29849499
"{type=Point, coordinates=List(-76.58862900040948, 39.29867699975113)}",662,5,,5,Hopkins Fixed Cameras,-76.588629,39.29867699
"{type=Point, coordinates=List(-76.58867700048877, 39.29913400021406)}",663,2,,2,Hopkins Fixed Cameras,-76.588677,39.299134
"{type=Point, coordinates=List(-76.58798499960113, 39.29870600037862)}",664,7,,7,Hopkins Fixed Cameras,-76.58798499,39.298706
"{type=Point, coordinates=List(-76.5879740004724, 39.29913799994419)}",665,1,,1,Hopkins Fixed Cameras,-76.587974,39.29913799
"{type=Point, coordinates=List(-76.58802200008871, 39.29959800014948)}",666,22,,22,Hopkins Fixed Cameras,-76.588022,39.299598
"{type=Point, coordinates=List(-76.58870900019964, 39.29958200005046)}",667,17,,17,Hopkins Fixed Cameras,-76.588709,39.299582
"{type=Point, coordinates=List(-76.58951899957492, 39.29955100022996)}",668,11,,11,Hopkins Fixed Cameras,-76.58951899,39.299551
"{type=Point, coordinates=List(-76.61121111132152, 39.314006905675285)}",669,518,,Barclay St - 21st1/2 St,BPD Cameras/518-Barclay,-76.61121111,39.3140069
"{type=Point, coordinates=List(-76.58666700031756, 39.29869456942223)}",670,603,,Monumnet/Collington,BPD Cameras/603 Monumne,-76.586667,39.29869456
"{type=Point, coordinates=List(-76.65119100051875, 39.28193556924326)}",671,1027,,Smallwood/Ashton,BPD Cameras/1027 Smallw,-76.651191,39.28193556
"{type=Point, coordinates=List(-76.61358784167695, 39.28647334256334)}",672,1924,,Pratt/Light,BPD Cameras/1924 -  Pra,-76.61358784,39.28647334
"{type=Point, coordinates=List(-76.61754444428657, 39.28637301306182)}",673,1923,,Pratt/Sharp,BPD Cameras/1923 - Prat,-76.61754444,39.28637301
